City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Hvide Sande,DK,56.0045,8.1294,41.09,79,54,28.68,Clouds
300,Okha,RU,53.5739,142.9478,18.46,88,72,9.62,Clouds
301,Tura,IN,25.5198,90.2201,69.48,92,0,5.03,Clear
302,Cacule,BR,-14.5033,-42.2222,80.17,43,37,3.58,Clouds
303,Victoria,HK,22.2855,114.1577,71.33,76,0,5.01,Clear
304,Port-Gentil,GA,-0.7193,8.7815,79.47,79,99,7.14,Clouds
305,Portland,US,45.5234,-122.6762,56.41,53,75,13.8,Clouds
306,Sovetskiy,RU,61.3614,63.5842,32.2,97,100,7.05,Clouds
307,Betioky,MG,-23.7167,44.3833,73.58,76,10,7.92,Clear
308,America Dourada,BR,-11.4553,-41.4361,74.1,40,1,7.56,Clear
309,Matinhos,BR,-25.8175,-48.5428,72.64,89,6,1.52,Clear
310,Nanortalik,GL,60.1432,-45.2371,30.15,81,6,1.59,Clear
311,Huarmey,PE,-10.0681,-78.1522,72.37,76,68,9.82,Clouds
312,Trinidad,BO,-14.8333,-64.9,79.52,87,89,3.78,Clouds
313,Yar-Sale,RU,66.8333,70.8333,8.56,95,100,7.0,Clouds
314,Airai,TL,-8.9266,125.4092,58.24,65,98,2.48,Clouds
315,Hobyo,SO,5.3505,48.5268,81.64,77,18,12.17,Clouds
316,Houston,US,29.7633,-95.3633,87.19,37,0,17.27,Clear
317,Svetlogorsk,BY,52.6333,29.7333,38.98,91,100,7.0,Clouds
318,Ikorodu,NG,6.6191,3.5041,81.66,79,100,9.26,Clouds
319,Guerrero Negro,MX,27.9769,-114.0611,81.32,32,1,15.03,Clear
320,Bar Harbor,US,44.3876,-68.2039,47.53,86,100,12.66,Clouds
321,Garowe,SO,8.4054,48.4845,74.32,82,53,9.57,Clouds
322,Kermanshah,IR,34.3142,47.065,47.37,63,0,0.87,Clear
323,Torbay,CA,47.6666,-52.7314,33.76,95,100,24.16,Snow
324,Port Hedland,AU,-20.3167,118.5667,75.25,83,6,3.44,Clear
325,Creel,MX,27.75,-107.6333,66.9,26,99,18.03,Clouds
326,Purpe,RU,64.4803,76.6897,4.8,90,100,6.71,Clouds
327,Cockburn Town,TC,21.4612,-71.1419,78.58,79,61,15.68,Clouds
328,Nouna,BF,12.7333,-3.8667,96.78,9,3,4.65,Clear
329,Saint-Gaudens,FR,43.0833,0.6667,38.01,83,47,4.43,Clouds
330,Upernavik,GL,72.7868,-56.1549,-1.16,97,63,5.35,Clouds
331,Zurrieq,MT,35.8311,14.4742,60.96,72,0,20.71,Clear
332,Agua Buena,PA,7.8167,-80.4,77.76,99,100,12.73,Clouds
333,Shelburne,CA,44.0787,-80.2041,34.9,82,99,12.88,Clouds
334,George,ZA,-33.963,22.4617,58.75,74,0,4.7,Clear
335,Kuytun,RU,54.3419,101.5036,27.0,84,77,8.97,Clouds
336,Lethem,GY,3.3803,-59.7968,83.16,64,82,5.79,Clouds
337,Varkkallai,IN,8.7341,76.7067,76.78,90,100,7.23,Clouds
338,Luwuk,ID,-0.9516,122.7875,77.86,82,100,3.13,Clouds
339,Rawson,AR,-43.3002,-65.1023,60.76,89,100,19.06,Rain
340,Honningsvag,NO,70.9821,25.9704,37.15,81,100,28.77,Clouds
341,San Pedro,PH,14.35,121.0167,77.36,87,72,3.33,Clouds
342,Thinadhoo,MV,0.5333,72.9333,83.57,68,67,10.8,Clouds
343,Horsham,GB,51.064,-0.3272,46.26,70,0,2.3,Clear
344,Parlakimidi,IN,18.7667,84.0833,77.52,92,87,2.26,Clouds
345,Atar,MR,20.5169,-13.0499,78.82,7,0,5.79,Clear
346,Laguna,US,38.421,-121.4238,79.18,13,0,20.71,Clear
347,Gashua,NG,12.871,11.0482,87.57,7,20,8.21,Clouds
348,Iskateley,RU,67.6803,53.1512,34.84,100,100,15.73,Clouds
349,Ancud,CL,-41.8697,-73.8203,48.22,82,100,8.86,Rain
350,Zhigansk,RU,66.7697,123.3711,2.98,95,31,12.33,Clouds
351,Tabriz,IR,38.08,46.2919,44.06,87,75,2.3,Clouds
352,Burnie,AU,-41.0667,145.9167,62.65,92,96,1.19,Clouds
353,Tual,ID,-5.6667,132.75,83.97,73,42,14.09,Clouds
354,Along,IN,28.1667,94.7667,63.63,96,65,1.39,Clouds
